ID;Deal ID;Spatial accuracy level;Location;Point;Facility name;Location description;Comment on location
ybLKEFFY;6707;Approximate location;Рудня, Київська область, Україна;50.66032,31.00559;;;
Gb_QCDJX;6707;Approximate location;Гоголів, Київська область, Україна;50.50929,31.01605;;;
_q8SKyDy;6707;Approximate location;Калита, Київська область, Україна;50.74991,31.02649;;;
2qUzXk36;6707;Approximate location;Підлісся, Київська область, Україна;50.5718,31.00794;;;
3iygzDSD;6708;Approximate location;Городище, Тернопільська область, Україна, 47237;49.73192,25.42244;;;
nVdY717j;6708;Approximate location;Гарбузівка, Полтавська область, Україна, 39251;49.08645,34.16442;;;
Sucwwvl-;6708;Approximate location;Ратищі, Тернопільська область, Україна, 47230;49.83547,25.30934;;;
yuzu4i4X;6708;Approximate location;Тростянець, Тернопільська область, Україна, 47534;49.32967,24.91529;;;
MgAwlAZt;6709;Approximate location;Кищенці, Черкаська область, Україна, 20121;49.03122,30.2497;;;
FQPiVQe4;6709;Approximate location;Добра, Черкаська область, Україна;48.95555,30.1372;;;
ee5X5Lz0;6709;Approximate location;Нова Гребля, Черкаська область, Україна;49.1461,30.38069;;;
qTB4Hbx4;6709;Approximate location;Харківка, Черкаська область, Україна;49.01595,30.31207;;;
JtUtI9U8;6709;Approximate location;Хижня, Черкаська область, Україна;49.10453,30.2746;;;
wABiR4Dw;6709;Exact location;;49.25104,30.40564;;https://kadastr.live/parcel/7120988800:02:001:1565;"Cadastral number 7120988800:02:001:1565
area 152.7875 hectares"
e0qNO-lD;6709;Exact location;;49.05686,30.21872;;https://kadastr.live/parcel/7123183000:02:002:0517;"Cadastral number 7123183000:02:002:0517
area 128.5277 hectares"
xn53Lig-;6709;Exact location;;;;;
9AZgZRm7;6709;Exact location;;49.06407,30.20931;;https://kadastr.live/parcel/7123183000:02:002:0518;"Cadastral number 7123183000:02:002:0518
125.8 ha"
uwg3ICfK;6709;Exact location;;49.21669,30.428;;https://kadastr.live/parcel/7120988800:02:001:1568;"Cadastral number 7120988800:02:001:1568
area 103.6108 ha
"
DqkfvVNj;6709;Exact location;;49.11433,30.25772;;https://kadastr.live/parcel/7120989100:03:001:0419;"Cadastral number 7120989100:03:001:0419
area of 72.6 hectares"
sSXLbQV4;6709;Exact location;;49.26623,30.46234;;https://kadastr.live/parcel/7120985800:02:001:0562;"Cadastral number 7120985800:02:001:0562
area 47.8004 ha"
ifwyHgBi;6709;Exact location;;49.12792,30.35589;;https://kadastr.live/parcel/7123182800:02:002:0084;"Cadastral number 7123182800:02:002:0084
47 hectares"
FAhAvNJ8;6729;Approximate location;Юрковцы, Черновицкая область, Украина, 59440;48.49916,25.93004;;;
fSJOgIYi;6729;Exact location;Черный Поток, Черновицкая область, Украина, 59435;48.56178,26.02279;;;1,289 ha, cadastral number 7321589100:01:006:0014,  contract was registered 08.07.2015
GDBSzEz5;6729;Exact location;Погореловка, Черновицкая область, Украина, 59436;48.54866,25.96348;;;"1,289 ha, cadastral number 7321586800:01:002:0058; contract was registered 22.02.2008."
e0hi8Ad2;6729;Administrative region;Глибоцький район, Чернівецька область, Україна;48.06136,25.89996;;;
TKdTcOlD;6729;Administrative region;Вижницький район, Чернівецька область, Україна;48.19291,25.34814;;;
C3gY8e4u;6729;Administrative region;Заставнівський район, Чернівецька область, Україна;48.51056,25.89383;;;
Y9Fx6PNS;6729;Approximate location;Шубранець, Чернівецька область, Україна;48.39825,25.88289;;;
_WheSBIi;6729;Approximate location;Васловівці, Чернівецька область, Україна;48.44413,25.93638;;;
uSTeEzVF;6729;Approximate location;Чорногузи, Чернівецька область, Україна;48.2663,25.22768;;;
M38rRdco;6729;Approximate location;Мілієве, Чернівецька область, Україна;48.33148,25.2896;;;
BoanpUF8;6749;Administrative region;Bepong, Ghana;6.59787,-0.725;;;Situated in Bepong
SRZpDrw_;6751;Administrative region;Awutu, Ghana;5.51619,-0.51445;;;"Situated in Awutu Abrefu locality in Awutu Senya District
"
O7DoHbjt;6771;Approximate location;Кривое, Тернопольская область, Украина, 47670;49.40774,25.09294;;;
kL2SLNfc;6771;Approximate location;Выбудов, Тернопольская область, Украина, 47614;49.52969,25.1107;;;
E_9tF0_y;6771;Approximate location;Будилов, Тернопольская область, Украина, 47623;49.52705,25.23909;;;
u5izs6pJ;6771;Approximate location;Августовка, Тернопольская область, Украина, 47610;49.58593,25.09647;;;
-drIFhic;6771;Exact location;;49.57905,24.81606;;https://kadastr.live/parcel/6120487000:01:001:2205;Size - 75,93 ha, cadastral number- 6120487000:01:001:2205
7EaiyAaf;6771;Exact location;;49.4626,25.00342;;https://kadastr.live/parcel/6120489400:01:001:1018;Size - 15,25 ha, cadastral number - 6120489400:01:001:1018
BestbaFf;6771;Exact location;;49.49601,25.10737;;https://kadastr.live/parcel/6123087100:01:001:0699;Size - 12,6 ha, cadastral number - 6123087100:01:001:0699
qOunvvy9;6771;Approximate location;Беримівці, Тернопільська область, Украина;49.71784,25.20229;;;
jD3qHvq9;6771;Approximate location;Козова, Тернопільська область, Украина;49.43057,25.15808;;;
f5CRwmIB;6776;Approximate location;Квітневе, Хмельницька область, Україна, 30244;49.97024,26.56469;Viddilok #1;;"12 442 ha
Cadastral number - 6820384500:06:005:0063"
DZJr52Zv;6776;Approximate location;Новоставці, Хмельницька область, Україна, 30611;49.86643,26.39878;;;"6 372 ha
Cadastral number - 6824785000:04:001:0256"
sVxbZeo2;6776;Approximate location;Ільківці, Хмельницька область, Україна, 30630;49.79297,26.30026;;;"7 174 ha
Cadastral number - 6824782500:03:001:0077"
RlflOfvM;6776;Approximate location;Гніздичне, Тернопільська область, Україна, 47332;49.80524,25.65038;;;3262 ha
WDxNaC53;6776;Approximate location;Ванжулів, Тернопільська область, Україна, 47442;49.79007,26.08037;;;2493 ha
cMLPyz2a;6776;Approximate location;Ямпіль, Хмельницька область, Україна, 30231;49.95728,26.22907;Viddilok #6;;"1815 ha
Cadastral number - 6820355600:08:005:0672"
BJIwRMc8;6778;Administrative region;Житомирська область, Україна;50.25465,28.65867;;;
5U5om0w-;6778;Administrative region;Рівненська область, Україна;50.6199,26.25162;;;
0eQ2gwDc;6778;Administrative region;Львівська область, Україна;49.83968,24.02972;;;
IBXsS7_h;6778;Administrative region;Тернопільська область, Україна;49.55352,25.59477;;;
dHRsVTwy;6779;Administrative region;Хабаровський край, Росія;50.58884,135;;;
wUivt-qp;6784;Approximate location;Ляличи, Приморский край, Росія, 692658;44.07663,132.38853;;;
Krf5nM5g;6784;Administrative region;Михайлівський район, Приморський край, Росія;43.9349,132.00545;;;
voVeg5KC;6784;Administrative region;Хорольський район, Приморський край, Росія;44.35372,132.06198;;;
lczgdnj-;6784;Administrative region;Пограничний, Приморський край, Росія;44.408,131.38081;;;
PdpdrWKU;6785;Approximate location;Каїри, Херсонська область, Україна, 74612;46.94285,33.70301;;;
EEwnkV9t;6785;Approximate location;Петрівка, Херсонська область, Україна, 75511;46.48618,34.67962;;;
ej7fsI_u;6785;Approximate location;Червона Поляна, Херсонська область, Україна;46.46579,33.55277;;;
LL1PNW6m;6789;Exact location;Bizerte, Tunisia;37.24369,9.96722;;;"Spatial data derived from the Mapathon 2020.
Located Bizerte Tunisia"
A-InCACi;6794;Exact location;Fazenda SOCAMIA, Cangandala, Angola;-9.83883,16.27024;Fazendan Socamia;;located in the municipality of Cangandala, in the Agro-industrial Campus of Capanda in northern Malanje province.
eyaPcGEc;6795;Approximate location;Сороки, Ивано-Франковская область, Украина, 78154;48.6137,25.36501;;;49.56 ha, 2011
KqWcFp32;6795;Approximate location;Слободка, Ивано-Франковская область, Украина, 77472;48.82212,24.87703;;;50 ha
K6qiGymh;6795;Approximate location;Братышев, Ивано-Франковская область, Украина;48.93416,25.04213;;;0,6267, contract was registered 20.04.2010, Record in The State Register of Land № 262560004003803
2SK4OYnN;6795;Approximate location;Братышев, Ивано-Франковская область, Украина;48.93416,25.04213;;;0,6268, contract was registered 20.04.2010, Record in The State Register of Land № 262560004003804
do10Ce2M;6795;Approximate location;Братышев, Ивано-Франковская область, Украина;48.93416,25.04213;;;0,5229, contract was registered 20.04.2010, Record in The State Register of Land № 262560004003787
